physical_time; flat_owner.money_spent_reference; TOU_owner.money_spent_reference; RTP_owner.money_spent_reference; flat_owner.money_spent_simulation; TOU_owner.money_spent_simulation; RTP_owner.money_spent_simulation
2000-01-01 01:00:00; 0; 0; 0; 0; 0; 0
2000-01-01 02:00:00; 0.1; 0.1; 0.1703; 0.1; 0.1; 0.1703
2000-01-01 03:00:00; 0.2; 0.2; 0.31; 0.2; 0.2; 0.31
2000-01-01 04:00:00; 0.3; 0.3; 0.4206; 0.30000000000000004; 0.30000000000000004; 0.4206
2000-01-01 05:00:00; 0.4; 0.4; 0.342; 0.4; 0.4; 0.342
2000-01-01 06:00:00; 0.5; 0.5; 0.342; 0.5; 0.5; 0.342
2000-01-01 07:00:00; 0.6; 1.2; 0.4014; 0.6000000000000001; 1.2000000000000002; 0.4014
2000-01-01 08:00:00; 0.7; 1.4; 0.6111; 0.7000000000000001; 1.4000000000000001; 0.6111
2000-01-01 09:00:00; 0.8; 1.6; 1.2192; 0.8; 1.6; 1.2192
2000-01-01 10:00:00; 0.9; 1.8; 1.1754; 0.9; 1.8; 1.1754
2000-01-01 11:00:00; 1.0; 2.0; 1.332; 1.0; 2.0; 1.332
2000-01-01 12:00:00; 1.1; 2.2; 1.3870999999999998; 1.1; 2.2; 1.3870999999999998
2000-01-01 13:00:00; 1.2; 2.4; 1.7292; 1.2000000000000002; 2.4000000000000004; 1.7292
2000-01-01 14:00:00; 1.3; 2.6; 1.8902; 1.3; 2.6; 1.8902
2000-01-01 15:00:00; 1.4; 2.8; 1.6996; 1.4000000000000001; 2.8000000000000003; 1.6996
2000-01-01 16:00:00; 1.5; 3.0; 1.851; 1.5; 3.0; 1.851
2000-01-01 17:00:00; 1.6; 3.2; 1.8656; 1.6; 3.2; 1.8656
2000-01-01 18:00:00; 1.7; 3.4; 2.0484999999999998; 1.7000000000000002; 3.4000000000000004; 2.0484999999999998
2000-01-01 19:00:00; 1.8; 3.6; 3.222; 1.8; 3.6; 3.222
2000-01-01 20:00:00; 1.9; 3.8; 3.8000000000000003; 1.9000000000000001; 3.8000000000000003; 3.8000000000000003
2000-01-01 21:00:00; 2.0; 4.0; 4.0; 2.0; 4.0; 4.0
2000-01-01 22:00:00; 2.1; 4.2; 4.2; 2.1; 4.2; 4.2
2000-01-01 23:00:00; 2.2; 2.2; 4.4; 2.2; 2.2; 4.4
2000-01-02 00:00:00; 2.3; 2.3; 4.6000000000000005; 2.3000000000000003; 2.3000000000000003; 4.6000000000000005
