iteration; early_partial_owner.LVE.energy_bought_reference; expensive_partial_owner.LVE.energy_bought_reference; consuming_partial_owner.LVE.energy_bought_reference; early_partial_owner.LVE.energy_bought_simulation; expensive_partial_owner.LVE.energy_bought_simulation; consuming_partial_owner.LVE.energy_bought_simulation
1; 0.002902777777777778; 0.002902777777777778; 0.005805555555555556; 0.002902775; 0.002902775; 0.00580555
2; 0.008708333333333334; 0.008708333333333334; 0.017416666666666667; 0.008708325; 0.008708325; 0.01741665
3; 0; 0; 0; 0.0; 0.0; 0.0
4; 0; 0; 0; 0.0; 0.0; 0.0
5; 0; 0; 0; 0.0; 0.0; 0.0
6; 0; 0; 0; 0.0; 0.0; 0.0
7; 0; 0; 0; 0; 0; 0
8; 0; 0; 0; 0; 0; 0
9; 0.002902777777777778; 0.002902777777777778; 0.005805555555555556; 0.002902775; 0.002902775; 0.00580555
10; 0.008708333333333334; 0.008708333333333334; 0.017416666666666667; 0.008708325; 0.008708325; 0.01741665
11; 0; 0; 0; 0.0; 0.0; 0.0
12; 0; 0; 0; 0.0; 0.0; 0.0
13; 0; 0; 0; 0.0; 0.0; 0.0
14; 0; 0; 0; 0.0; 0.0; 0.0
15; 0; 0; 0; 0.0; 0.0; 0.0
16; 0; 0; 0; 0.0; 0.0; 0.0
17; 0; 0; 0; 0.0; 0.0; 0.0
18; 0; 0; 0; 0.0; 0.0; 0.0
19; 0; 0; 0; 0.0; 0.0; 0.0
20; 0; 0; 0; 0.0; 0.0; 0.0
21; 0; 0; 0; 0.0; 0.0; 0.0
22; 0; 0; 0; 0.0; 0.0; 0.0
23; 0; 0; 0; 0.0; 0.0; 0.0
24; 0; 0; 0; 0.0; 0.0; 0.0
