iteration; light_autarky_owner.LVE.energy_bought_reference; autarky_owner.LVE.energy_bought_reference; always_satisfied_owner.LVE.energy_bought_reference; light_autarky_owner.LVE.energy_bought_simulation; autarky_owner.LVE.energy_bought_simulation; always_satisfied_owner.LVE.energy_bought_simulation
1; 0; 0; 0; 0; 0; 0
2; 2; 2; 2; 2.0; 2.0; 2.0
3; 4; 4; 4; 4.0; 4.0; 4.0
4; 6; 6; 6; 6.0; 6.0; 6.0
5; 8; 8; 8; 8.0; 8.0; 8.0
6; 10; 10; 10; 10.0; 10.0; 10.0
7; 12; 12; 12; 12.0; 12.0; 12.0
8; 12; 12; 14; 12.0; 12.0; 14.0
9; 12; 12; 16; 12.0; 12.0; 16.0
10; 12; 12; 18; 12.0; 12.0; 18.0
11; 12; 12; 20; 12.0; 12.0; 20.0
12; 12; 12; 22; 12.0; 12.0; 22.0
13; 12; 12; 24; 12.0; 12.0; 24.0
14; 13; 0; 26; 13.0; 0; 26.0
15; 14; 0; 28; 14.0; 0; 28.0
16; 15; 0; 30; 15.0; 0; 30.0
17; 16; 0; 32; 16.0; 0; 32.0
18; 17; 0; 34; 17.0; 0; 34.0
19; 18; 0; 36; 18.0; 0; 36.0
20; 19; 0; 38; 19.0; 0; 38.0
21; 20; 0; 40; 20.0; 0; 40.0
22; 21; 0; 42; 21.0; 0; 42.0
23; 22; 0; 44; 22.0; 0; 44.0
24; 23; 0; 46; 23.0; 0; 46.0
