iteration; light_autarky_owner.LVE.energy_sold_reference; autarky_owner.LVE.energy_sold_reference; always_satisfied_owner.LVE.energy_sold_reference; light_autarky_owner.LVE.energy_sold_simulation; autarky_owner.LVE.energy_sold_simulation; always_satisfied_owner.LVE.energy_sold_simulation
1; 0; 0; 12; 0; 0; 12
2; 2; 2; 12; 2.0; 2.0; 12
3; 4; 4; 12; 4.0; 4.0; 12
4; 6; 6; 12; 6.0; 6.0; 12
5; 8; 8; 12; 8.0; 8.0; 12
6; 10; 10; 12; 10.0; 10.0; 12
7; 12; 12; 12; 12; 12; 12
8; 12; 12; 12; 12; 12; 12
9; 12; 12; 12; 12; 12; 12
10; 12; 12; 12; 12; 12; 12
11; 12; 12; 12; 12; 12; 12
12; 12; 12; 12; 12; 12; 12
13; 12; 12; 12; 12; 12; 12
14; 12; 0; 12; 12; 0; 12
15; 12; 0; 12; 12; 0; 12
16; 12; 0; 12; 12; 0; 12
17; 12; 0; 12; 12; 0; 12
18; 12; 0; 12; 12; 0; 12
19; 12; 0; 12; 12; 0; 12
20; 12; 0; 12; 12; 0; 12
21; 12; 0; 12; 12; 0; 12
22; 12; 0; 12; 12; 0; 12
23; 12; 0; 12; 12; 0; 12
24; 12; 0; 12; 12; 0; 12
