physical_time; early_hot_water_tank_owner.LVE.energy_bought_reference; month_dependency_hot_water_tank_owner.LVE.energy_bought_reference; short_period_hot_water_tank_owner.LVE.energy_bought_reference; two_usages_hot_water_tank_owner.LVE.energy_bought_reference; early_hot_water_tank_owner.LVE.energy_bought_simulation; month_dependency_hot_water_tank_owner.LVE.energy_bought_simulation; short_period_hot_water_tank_owner.LVE.energy_bought_simulation; two_usages_hot_water_tank_owner.LVE.energy_bought_simulation
2000-01-01 01:00:00; 0.011611111111111112; 0.023222222222222224; 0.011611111111111112; 0.005805555555555556; 0.01161111111111111; 0.02322222222222222; 0.01161111111111111; 0.005805555555555555
2000-01-01 02:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 03:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 04:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 05:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 06:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 07:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 08:00:00; 0.011611111111111112; 0; 0; 0; 0.01161111111111111; 0; 0; 0
2000-01-01 09:00:00; 0; 0.023222222222222224; 0.011611111111111112; 0.005805555555555556; 0; 0.02322222222222222; 0.01161111111111111; 0.005805555555555555
2000-01-01 10:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 11:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 12:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 13:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 14:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 15:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 16:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 17:00:00; 0; 0; 0; 0.005805555555555556; 0; 0; 0; 0.005805555555555555
2000-01-01 18:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 19:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 20:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 21:00:00; 0; 0; 0.011611111111111112; 0; 0; 0; 0.01161111111111111; 0
2000-01-01 22:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-01 23:00:00; 0; 0; 0; 0; 0; 0; 0; 0
2000-01-02 00:00:00; 0; 0; 0; 0; 0; 0; 0; 0
